Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,TimeInSeconds,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,CPUStartTime,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsAllInputToPhotonLatency,MsClickToPhotonLatency,InstrumentedLatency,GPUPower,GPUVoltage,GPUFrequency,GPUTemperature,GPUUtilization,3D/ComputeUtilization,MediaUtilization,GPUMemoryPower,GPUMemoryVoltage,GPUMemoryFrequency,GPUMemoryEffectiveFrequency,GPUMemoryTemperature,GPUMemorySize,GPUMemorySizeUsed,GPUMemoryMaxBandwidth,GPUMemoryReadBandwidth,GPUMemoryWriteBandwidth,GPUFanSpeed[0],GPUFanSpeed[1],GPUFanSpeed[2],GPUFanSpeed[3],GPUPowerLimited,GPUTemperatureLimited,GPUCurrentLimited,GPUVoltageLimited,GPUUtilizationLimited,GPUMemoryPowerLimited,GPUMemoryTemperatureLimited,GPUMemoryCurrentLimited,GPUMemoryVoltageLimited,GPUMemoryUtilizationLimited,CPUUtilization,CPUPower,CPUTemperature,CPUFrequency
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.05664,NA,3.5977,6.9446,1.2025,7.0908,NA,NA,0.05824,3.8666,2.6641,1.2025,3.4028,6.3521,6.3356,0.0165,NA,NA,NA,NA,NA,58.7050,NA,1800.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2262188032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.06196,NA,5.3200,0.0000,1.6165,7.4662,7.4662,NA,0.06211,5.7340,4.1175,1.6165,5.8883,5.6954,5.2429,0.4525,-1844674407370946.7500,530859.8441,NA,NA,NA,58.7050,NA,1800.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2262188032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.06701,NA,5.0523,11.4336,2.3161,6.5972,NA,NA,0.06784,5.7519,3.4358,2.3161,5.8497,4.1833,3.9540,0.2293,NA,NA,NA,NA,NA,58.7050,NA,1800.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2262188032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.07242,NA,5.4132,0.0000,1.2900,5.9556,5.9556,NA,0.07359,4.3871,3.0971,1.2900,4.2811,4.7716,4.7680,0.0036,-1844674407370947.0000,530871.3300,NA,NA,NA,58.7050,NA,1800.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2262188032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.07671,NA,4.2902,9.4466,1.5858,4.2611,11.1120,NA,0.07798,4.5860,3.0002,1.5858,4.6656,2.5957,2.5530,0.0427,-5.0595,530875.7171,NA,NA,NA,58.7050,NA,1800.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2262188032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.08127,NA,4.5566,6.8853,1.0717,5.1941,NA,NA,0.08257,4.0425,2.9708,1.0717,2.6753,5.4896,5.4866,0.0030,NA,NA,NA,NA,NA,58.7050,NA,1800.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2262188032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.08517,NA,3.9061,0.0000,1.1439,4.6544,4.6544,NA,0.08661,3.9783,2.8344,1.1439,4.1224,3.3664,3.3381,0.0283,-1844674407370946.2500,530884.3456,NA,NA,NA,58.7050,NA,1800.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2262188032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.08989,NA,4.7123,11.8291,0.8967,4.5297,11.7712,NA,0.09059,4.4651,3.5684,0.8967,3.5105,4.5876,4.5837,0.0039,-7.8508,530888.3239,NA,NA,NA,58.7050,NA,1800.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2262188032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.09385,NA,3.9624,6.9815,1.3259,4.4102,14.7903,NA,0.09505,4.3916,3.0657,1.3259,3.6330,3.8429,3.8372,0.0057,-2.5164,530892.7890,NA,NA,NA,58.7050,NA,1800.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2262188032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.09981,NA,5.9651,6.9393,0.9733,6.4169,NA,NA,0.09944,5.6125,4.6392,0.9733,3.0843,7.9718,7.7020,0.2698,NA,NA,NA,NA,NA,58.7050,NA,1800.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2262188032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
