Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,TimeInSeconds,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,CPUStartTime,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsAllInputToPhotonLatency,MsClickToPhotonLatency,InstrumentedLatency,GPUPower,GPUVoltage,GPUFrequency,GPUTemperature,GPUUtilization,3D/ComputeUtilization,MediaUtilization,GPUMemoryPower,GPUMemoryVoltage,GPUMemoryFrequency,GPUMemoryEffectiveFrequency,GPUMemoryTemperature,GPUMemorySize,GPUMemorySizeUsed,GPUMemoryMaxBandwidth,GPUMemoryReadBandwidth,GPUMemoryWriteBandwidth,GPUFanSpeed[0],GPUFanSpeed[1],GPUFanSpeed[2],GPUFanSpeed[3],GPUPowerLimited,GPUTemperatureLimited,GPUCurrentLimited,GPUVoltageLimited,GPUUtilizationLimited,GPUMemoryPowerLimited,GPUMemoryTemperatureLimited,GPUMemoryCurrentLimited,GPUMemoryVoltageLimited,GPUMemoryUtilizationLimited,CPUUtilization,CPUPower,CPUTemperature,CPUFrequency
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0,NA,4.4484,20.1571,1.1623,4.5556,20.0351,NA,0,4.4755,3.3132,1.1623,3.1912,4.6776,4.6666,0.0110,-15.0825,831886.5402,NA,NA,NA,53.7450,NA,1575.0000,86.0000,88.0000,NA,17.0000,NA,NA,6120.9840,NA,NA,6442450944,2334281728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5077,NA,NA,2410.1218
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.004391,NA,4.3907,6.9057,1.4174,5.7252,22.5501,NA,0.004475,4.6458,3.2284,1.4174,3.3933,5.5603,4.8210,0.7393,-2.4302,831891.0157,NA,NA,NA,53.7450,NA,1575.0000,86.0000,88.0000,NA,17.0000,NA,NA,6120.9840,NA,NA,6442450944,2334281728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5077,NA,NA,2410.1218
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.01123,NA,6.8398,8.7308,1.5301,5.9563,NA,NA,0.009121,6.9525,5.4224,1.5301,4.3078,7.0709,7.0709,0.0000,NA,NA,NA,NA,NA,53.7450,NA,1575.0000,86.0000,88.0000,NA,17.0000,NA,NA,6120.9840,NA,NA,6442450944,2334281728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5077,NA,NA,2410.1218
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.01616,NA,4.9255,0.0000,1.9337,4.6965,4.6965,NA,0.01607,5.3291,3.3954,1.9337,4.4262,3.6657,3.6350,0.0307,-1844674407370933.5000,831902.6140,NA,NA,NA,53.7450,NA,1575.0000,86.0000,88.0000,NA,17.0000,NA,NA,6120.9840,NA,NA,6442450944,2334281728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5077,NA,NA,2410.1218
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.02133,NA,5.1788,23.0582,1.2365,4.8152,22.5759,NA,0.0214,4.4816,3.2451,1.2365,2.7628,5.2975,5.1591,0.1384,-17.7291,831907.9431,NA,NA,NA,53.7450,NA,1575.0000,86.0000,88.0000,NA,17.0000,NA,NA,6120.9840,NA,NA,6442450944,2334281728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5077,NA,NA,2410.1218
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.03099,NA,9.6575,6.8082,1.7426,4.1048,19.7266,NA,0.02588,10.1636,8.4210,1.7426,4.5459,7.9799,5.8825,2.0974,-2.3266,831912.4247,NA,NA,NA,53.7450,NA,1575.0000,86.0000,88.0000,NA,17.0000,NA,NA,6120.9840,NA,NA,6442450944,2334281728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5077,NA,NA,2410.1218
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.03877,NA,7.7826,7.0888,2.6687,4.5510,19.0328,NA,0.03605,8.7087,6.0400,2.6687,2.3622,8.2288,5.7908,2.4380,3.0748,831922.5883,NA,NA,NA,53.7450,NA,1575.0000,86.0000,88.0000,NA,17.0000,NA,NA,6120.9840,NA,NA,6442450944,2334281728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5077,NA,NA,2410.1218
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.04456,NA,5.7827,7.0276,1.2155,5.3660,20.2777,NA,0.04476,4.3295,3.1140,1.2155,1.8823,6.5977,6.5845,0.0132,1.6811,831931.2970,NA,NA,NA,53.7450,NA,1575.0000,86.0000,88.0000,NA,17.0000,NA,NA,6120.9840,NA,NA,6442450944,2334281728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5077,NA,NA,2410.1218
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.04993,NA,5.3740,7.0363,1.4000,5.9296,21.9400,NA,0.04909,5.5585,4.1585,1.4000,4.1505,5.9376,5.8617,0.0759,-2.7068,831935.6265,NA,NA,NA,53.7450,NA,1575.0000,86.0000,88.0000,NA,17.0000,NA,NA,6120.9840,NA,NA,6442450944,2334281728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5077,NA,NA,2410.1218
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.05522,NA,5.2914,6.7599,1.4982,5.7193,23.4085,NA,0.05464,5.3896,3.8914,1.4982,4.5296,5.0811,5.0811,0.0000,-1.2014,831941.1850,NA,NA,NA,53.7450,NA,1575.0000,86.0000,88.0000,NA,17.0000,NA,NA,6120.9840,NA,NA,6442450944,2334281728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5077,NA,NA,2410.1218
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.06078,NA,5.5576,6.9328,1.2044,4.3922,24.7837,NA,0.06003,5.2638,4.0594,1.2044,4.2211,4.2305,4.1805,0.0500,-1.5432,831946.5746,NA,NA,NA,52.6110,NA,1680.0000,86.0000,88.0000,NA,17.0000,NA,NA,6120.9840,NA,NA,6442450944,2438504448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5077,NA,NA,2410.1218
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.07186,NA,11.0823,6.9494,1.6180,3.8060,20.6508,NA,0.0653,11.4959,9.8779,1.6180,3.3823,10.3016,5.8778,4.4238,-1.6856,831951.8384,NA,NA,NA,52.6110,NA,1680.0000,86.0000,88.0000,NA,17.0000,NA,NA,6120.9840,NA,NA,6442450944,2438504448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5077,NA,NA,2410.1218
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.07755,NA,5.6868,6.9906,1.2197,6.1660,NA,NA,0.07679,5.2885,4.0688,1.2197,2.4446,7.7902,7.7321,0.0581,NA,NA,NA,NA,NA,52.6110,NA,1680.0000,86.0000,88.0000,NA,17.0000,NA,NA,6120.9840,NA,NA,6442450944,2438504448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5077,NA,NA,2410.1218
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.08319,NA,5.6358,0.0000,1.5207,5.7876,5.7876,NA,0.08208,5.9368,4.4161,1.5207,4.9463,5.2574,5.2574,0.0000,-1844674407370939.5000,831968.6228,NA,NA,NA,52.6110,NA,1680.0000,86.0000,88.0000,NA,17.0000,NA,NA,6120.9840,NA,NA,6442450944,2438504448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5077,NA,NA,2410.1218
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.08814,NA,4.9530,17.4200,1.6361,3.8005,18.2546,NA,0.08802,5.0684,3.4323,1.6361,4.2669,2.9659,2.9445,0.0214,-11.4832,831974.5596,NA,NA,NA,52.6110,NA,1680.0000,86.0000,88.0000,NA,17.0000,NA,NA,6120.9840,NA,NA,6442450944,2438504448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5077,NA,NA,2410.1218
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.09334,NA,5.2058,6.8799,1.4549,4.7550,19.9287,NA,0.09309,5.0246,3.5697,1.4549,2.1644,6.1603,6.0878,0.0725,-1.8115,831979.6280,NA,NA,NA,52.6110,NA,1680.0000,86.0000,88.0000,NA,17.0000,NA,NA,6120.9840,NA,NA,6442450944,2438504448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5077,NA,NA,2410.1218
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.09961,NA,6.2703,6.9502,1.5593,4.1079,20.6086,NA,0.09811,6.3747,4.8154,1.5593,3.3001,5.6232,4.7701,0.8531,-1.9256,831984.6526,NA,NA,NA,52.6110,NA,1680.0000,86.0000,88.0000,NA,17.0000,NA,NA,6120.9840,NA,NA,6442450944,2438504448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5077,NA,NA,2410.1218
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.1052,NA,5.6159,7.1231,1.2468,5.7208,22.1158,NA,0.1045,5.3034,4.0566,1.2468,2.5486,7.2288,6.5105,0.7183,-0.7484,831991.0273,NA,NA,NA,52.6110,NA,1680.0000,86.0000,88.0000,NA,17.0000,NA,NA,6120.9840,NA,NA,6442450944,2438504448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5077,NA,NA,2410.1218
